time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
2.271000,0.8809,1.1102,-1.9451,2.407
2.276000,0.7691,0.8969,-1.6125,1.999
2.280000,0.5597,0.6808,-1.2310,1.514
2.286000,0.2651,0.4254,-0.7859,0.932
2.290000,-0.0526,0.1254,-0.3345,0.361
2.295000,-0.3406,-0.1932,0.0732,0.398
2.302000,-0.5387,-0.4376,0.4038,0.803
2.305000,-0.6394,-0.5503,0.6358,1.056
2.310000,-0.6446,-0.5433,0.7572,1.133
2.314000,-0.5514,-0.4597,0.8016,1.076
2.319000,-0.3719,-0.2997,0.7763,0.911
2.323000,-0.1686,-0.0849,0.6622,0.689
2.328000,-0.0353,0.1392,0.4452,0.468
2.333000,0.0417,0.3535,0.1351,0.381
2.338000,0.0806,0.5485,-0.2272,0.599
2.342000,0.0975,0.6881,-0.5793,0.905
2.347000,0.1346,0.7582,-0.8711,1.163
2.353000,0.1793,0.8160,-1.0927,1.376
2.357000,0.2054,0.8972,-1.2348,1.540
2.361000,0.1793,0.9588,-1.3595,1.673
2.366000,0.1177,0.9628,-1.4933,1.781
2.372000,0.0731,0.9120,-1.5741,1.821
2.375000,0.0239,0.8303,-1.6116,1.813
2.381000,-0.0129,0.7679,-1.5268,1.709
2.386000,0.0256,0.7459,-1.3246,1.520
2.390000,0.1471,0.7546,-1.1058,1.347
2.396000,0.2228,0.7870,-0.9230,1.233
2.400000,0.1787,0.7712,-0.8024,1.127
2.404000,0.0679,0.6670,-0.6988,0.968
2.409000,0.0180,0.5443,-0.5812,0.796
2.413000,0.0443,0.4897,-0.4525,0.668
2.419000,0.0566,0.4655,-0.3274,0.572
2.423000,0.0409,0.4265,-0.2492,0.496
2.428000,0.0260,0.4155,-0.1650,0.448
2.433000,-0.0028,0.4127,-0.0793,0.420
2.438000,-0.0603,0.4128,-0.0253,0.418
2.442000,-0.1231,0.4130,-0.0243,0.432
2.447000,-0.1727,0.4178,-0.0975,0.463
2.452000,-0.1928,0.4462,-0.2160,0.532
2.456000,-0.2296,0.4791,-0.3892,0.659
2.461000,-0.3170,0.5071,-0.5788,0.832
2.466000,-0.4129,0.4919,-0.7559,0.992
2.471000,-0.5009,0.4598,-0.9085,1.135
2.475000,-0.6126,0.4609,-1.0270,1.282
2.480000,-0.7053,0.4998,-1.1305,1.423
2.486000,-0.7461,0.5667,-1.2021,1.524
2.490000,-0.8095,0.6181,-1.1722,1.553
2.494000,-0.8789,0.6320,-1.0121,1.482
2.500000,-0.8985,0.6130,-0.8248,1.365
2.504000,-0.8823,0.5756,-0.7084,1.270
2.509000,-0.8565,0.5373,-0.7182,1.240
2.513000,-0.8306,0.5249,-0.8278,1.285
2.518000,-0.7947,0.5820,-0.9465,1.366
2.523000,-0.7144,0.7211,-1.0221,1.440
2.528000,-0.6102,0.9066,-1.0311,1.502
2.532000,-0.5269,1.0746,-1.0098,1.566
2.537000,-0.4544,1.1989,-0.9536,1.598
2.542000,-0.4086,1.2821,-0.8460,1.590
2.548000,-0.4057,1.3220,-0.7278,1.563
2.552000,-0.4508,1.3112,-0.6826,1.545
